ref	current	kind	title	domains	verification	path
qeva:1:addition@1	yes	definition	Addition	number-theory,arithmetic	editorial	objects/addition.r1.json
qeva:1:algorithm@1	yes	definition	Algorithm	computation,logic	editorial	objects/algorithm.r1.json
qeva:1:attractor@1	no	definition	Attractor	dynamics,systems	editorial	objects/attractor.r1.json
qeva:1:attractor@2	yes	definition	Attractor	dynamics,systems	editorial	objects/attractor.r2.json
qeva:1:axiom-choice@1	yes	axiom	Axiom of choice	set-theory,foundations	editorial	objects/axiom-choice.r1.json
qeva:1:axiom-empty-set@1	yes	axiom	Axiom of empty set	set-theory,foundations	editorial	objects/axiom-empty-set.r1.json
qeva:1:axiom-extensionality@1	yes	axiom	Axiom of extensionality	set-theory,foundations	editorial	objects/axiom-extensionality.r1.json
qeva:1:axiom-foundation@1	yes	axiom	Axiom of foundation	set-theory,foundations	editorial	objects/axiom-foundation.r1.json
qeva:1:axiom-infinity@1	yes	axiom	Axiom of infinity	set-theory,foundations	editorial	objects/axiom-infinity.r1.json
qeva:1:axiom-pairing@1	yes	axiom	Axiom of pairing	set-theory,foundations	editorial	objects/axiom-pairing.r1.json
qeva:1:axiom-power-set@1	yes	axiom	Axiom of power set	set-theory,foundations	editorial	objects/axiom-power-set.r1.json
qeva:1:axiom-union@1	yes	axiom	Axiom of union	set-theory,foundations	editorial	objects/axiom-union.r1.json
qeva:1:axiom@1	yes	axiom	Axiom	logic,foundations	editorial	objects/axiom.r1.json
qeva:1:bijection@1	yes	definition	Bijection	set-theory,structure	editorial	objects/bijection.r1.json
qeva:1:cardinality@1	yes	definition	Cardinality	set-theory,combinatorics	editorial	objects/cardinality.r1.json
qeva:1:category-theoretic-foundations@1	yes	framework	Category-theoretic foundations	category-theory,foundations	editorial	objects/category-theoretic-foundations.r1.json
qeva:1:chaos@1	no	terminology	Chaos	dynamics,chaos	editorial	objects/chaos.r1.json
qeva:1:chaos@2	yes	terminology	Chaos	dynamics,chaos	editorial	objects/chaos.r2.json
qeva:1:chirality@1	no	definition	Chirality	symmetry,geometry	editorial	objects/chirality.r1.json
qeva:1:chirality@2	yes	definition	Chirality	symmetry,geometry	editorial	objects/chirality.r2.json
qeva:1:classical-logic@1	yes	framework	Classical logic	logic,foundations	editorial	objects/classical-logic.r1.json
qeva:1:closed-form@1	no	terminology	Closed form	representation,algebra,analysis	editorial	objects/closed-form.r1.json
qeva:1:closed-form@2	yes	terminology	Closed form	representation,algebra,analysis	editorial	objects/closed-form.r2.json
qeva:1:coarse-graining@1	no	definition	Coarse-graining	information,statistical-mechanics,learning,systems	editorial	objects/coarse-graining.r1.json
qeva:1:coarse-graining@2	yes	definition	Coarse-graining	information,statistical-mechanics,learning,systems	editorial	objects/coarse-graining.r2.json
qeva:1:collatz-conjecture@1	no	conjecture	Collatz conjecture	number-theory,dynamics,open-problems	editorial	objects/collatz-conjecture.r1.json
qeva:1:collatz-conjecture@2	yes	conjecture	Collatz conjecture	number-theory,dynamics,open-problems	editorial	objects/collatz-conjecture.r2.json
qeva:1:collatz-map@1	no	definition	Collatz map	number-theory,dynamics,computation	editorial	objects/collatz-map.r1.json
qeva:1:collatz-map@2	yes	definition	Collatz map	number-theory,dynamics,computation	editorial	objects/collatz-map.r2.json
qeva:1:completeness@1	yes	terminology	Completeness	logic,foundations	editorial	objects/completeness.r1.json
qeva:1:complex-number@1	yes	definition	Complex number	analysis,algebra	editorial	objects/complex-number.r1.json
qeva:1:composition@1	yes	definition	Composition	structure,algebra	editorial	objects/composition.r1.json
qeva:1:computability@1	yes	definition	Computability	computation,logic	editorial	objects/computability.r1.json
qeva:1:conjunction@1	yes	definition	Conjunction	logic	editorial	objects/conjunction.r1.json
qeva:1:consistency@1	yes	definition	Consistency	logic,foundations	editorial	objects/consistency.r1.json
qeva:1:constructive-logic@1	yes	framework	Constructive logic	logic,foundations	editorial	objects/constructive-logic.r1.json
qeva:1:continuity@1	no	definition	Continuity	analysis,topology,dynamics	editorial	objects/continuity.r1.json
qeva:1:continuity@2	yes	definition	Continuity	analysis,topology,dynamics	editorial	objects/continuity.r2.json
